[word],[frequency]
observed,3
october,3
amounts,3
liking,3
sti,3
prizes,3
ole,3
seeking,3
city,3
obe,3
beneficiaries,3
earth,3
presently,3
accepting,3
instructions,3
trending,3
deleted,3
begging,3
efforts,3
dmthanks,3
nite,3
mystery,3
signed,3
messaging,3
stagewhich,3
incident,3
tnk,3
omole,3
outbreak,3
businessamlive,3
hq,3
pure,3
digit,3
complex,3
premises,3
broadcast,3
breaking,3
fir,3
uniport,3
selling,3
beauty,3
apple,3
nair,3
east,3
worst,3
limited,3
proposition,3
accessories,3
fraught,3
undeserving,3
accept,3
bae,3
hairstylist,3
qoq,3
produce,3
hairstyling,3
reports,3
waste,3
discover,3
artist,3
land,3
studying,3
kor,3
zone,3
upgrade,3
abiola,3
ikorodu,3
upto,3
completely,3
apologizing,3
nee,3
issa,3
settle,3
shame,3
decline,3
ibmag,3
instinctwave,3
funding,3
requires,3
product,3
newspaper,3
hurry,3
submitting,3
influencer,3
finding,3
twiceon,3
shortly,3
travelling,3
ilupeju,3
err,3
adverti,3
collection,3
dispensed,3
exper,3
christ,3
activation,3
rapture,3
occur,3
tommorow,3
reverting,3
phon,3
sudan,3
jul,3
nope,3
helps,3
secret,3
induced,3
uchenna,3
stephen,3
firstcontact,3
humble,3
dayi,3
wedding,3
presents,3
san,3
achieve,3
hearts,3
traded,3
package,3
lots,3
minds,3
schedule,3
surely,3
systems,3
jobs,3
awon,3
wajucouture,3
valsabi,3
connectseries,3
period,3
brilliant,3
innovations,3
busin,3
clickatell,3
steering,3
wheelhint,3
introduce,3
uniben,3
struggling,3
uni,3
firstmonie,3
succeed,3
whatapp,3
malize,3
brandzone,3
vision,3
branding,3
cameroon,3
playing,3
usual,3
knew,3
percentage,3
aesthetic,3
edidiong,3
georgeedygeorgegraphicsletsdesignforyou,3
deliver,3
babe,3
holds,3
calendar,3
considered,3
ff,3
oyo,3
sustainable,3
games,3
terrifictuesday,3
tuesdaythoughts,3
benue,3
instantly,3
garden,3
litraising,3
possi,3
sleep,3
gmaths,3
godwin,3
discount,3
bulk,3
msgs,3
orienta,3
behave,3
hahahahaha,3
hehehe,3
remit,3
chicken,3
firstbankfiresidechat,3
energy,3
signature,3
freebies,3
pending,3
prevailing,3
leap,3
figure,3
resources,3
picking,3
hmmm,3
plight,3
sa,3
intend,3
discovered,3
kids,3
telex,3
anomaly,3
changesome,3
investigated,3
numerous,3
hopes,3
install,3
egba,3
technical,3
character,3
moneygram,3
dirty,3
refuse,3
inexpensive,3
mess,3
devil,3
knw,3
bonne,3
wide,3
forwarded,3
quoted,3
abdullahi,3
sw,3
enrolled,3
founder,3
aug,3
mate,3
peace,3
knock,3
intl,3
surulere,3
oyebode,3
olajide,3
muhammad,3
late,3
birthdays,3
interswitch,3
initiate,3
documents,3
endure,3
instruction,3
goan,3
gat,3
joking,3
levelup,3
premium,3
plantains,3
ikotun,3
bottle,3
hail,3
idp,3
mood,3
