word,frequency
havent,30
surely,2
drag,1
se,7
lose,3
cos,43
inability,7
REVERSE,1
S,9
Worst,6
lies,4
emails,10
Only,21
Eba,4
users,3
especially,17
earners,8
Reply,2
Mummy,1
said,90
swap,1
phones,6
nationwide,2
sell,2
phon,2
mami,1
shouldnt,3
disrespected,1
egbon,1
appalling,2
treats,1
regardless,1
presence,1
society,3
compl,5
LampRug,1
sub,14
SSD,1
serious,8
headache,4
receive,130
LampRugBrain,1
WIND,2
accces,1
operate,17
Saturdays,1
Pls,148
yes,9
Thursday,21
bra,1
reasons,7
unknown,4
Do,22
maximum,16
amount,76
anyone,13
speak,7
abt,12
accountI,4
everything,14
accessbank,5
wit,25
twitted,1
plead,1
give,46
show,14
Accessbank,1
respect,5
papa,2
mama,1
Monday,25
mat,3
saw,21
OwlLampBrain,1
beg,16
flood,1
light,11
mission,1
road,12
dangerous,2
bought,61
airtel,9
cr,9
found,14
less,20
minsWindowBrainRugLamp,1
All,64
five,9
percent,1
DAT,3
Ruglampwindow,1
win,7
starts,1
withdrawals,17
policy,7
fuck,11
bit,7
Cos,6
correct,11
Pl,3
treasury,2
percentage,3
Terms,3
Conditions,1
Money,25
won't,72
leave,27
talk,16
destination,2
Make,5
sussesful,1
recently,14
entered,7
CORRECT,1
pin,46
Over,20
experienced,8
hand,6
poverty,12
provided,13
Had,7
Wedne,1
carry,12
response,121
youbecause,1
branchall,1
avail,6
consumer,1
protection,1
council,1
likes,3
sho,3
microfinance,2
alre,1
hr,4
Transfer,13
successful,50
dedu,2
appreciate,8
contacted,17
asked,34
nearest,18
fo,9
deserve,3
kind,17
humiliation,1
experience,28
complain,56
double,9
deduction,20
yield,1
loaned,1
MasterCard,21
atleast,3
own,33
ok,4
until,26
nysc,4
fave,1
Ha,8
true,11
didn,7
info,8
regarding,5
obligedDM,1
concern,4
abandoned,4
Moving,2
remedy,1
Customer,6
well,27
continues,2
tho,10
compared,1
seem,15
latest,3
trend,2
battling,3
begging,6
complaints,22
wana,1
say,59
ha,6
wen,11
Mtn,6
vex,8
slow,12
completing,2
sin,5
deductions,21
doesnt,15
pleas,2
Nigeriassecond,1
coworking,1
conferenceheld,1
IMAX,1
Filmhouse,1
Lekki,3
Organised,1
Venus,1
Hub,2
detailed,1
specific,3
period,9
ourselves,1
company,12
Goodday,2
advised,2
contact,33
Stanbic,6
employee,1
graduates,1
trainees,1
Esut,1
universities,2
polytechnic,1
making,46
couple,7
tries,1
prompts,1
verify,3
tru,5
change,66
associated,1
RockSpace,2
Abeokuta,8
OgunState,4
edition,5
CoWorking,4
Confere,2
LIVE,2
Conference,4
whom,1
that'll,1
hasten,1
return,44
transactionAlmost,1
thre,2
We,31
live,14
created,1
Ju,3
upset,3
patronize,1
Have,20
job,10
explanation,20
verve,3
forI,1
answers,4
Sterling,4
posted,3
Omo,2
frustrated,8
facing,8
sa,4
ain't,10
responding,21
treat,9
Stating,1
princi,1
hmmmm,1
HeheWho,1
Tho,2
trlling,1
elligible,1
Biko,8
mone,10
earth,8
shouldn't,4
able,59
view,4
purchased,15
data,56
rd,32
Okro,1
soup,1
okene,1
fraud,80
Helloooooooooo,1
trow,1
fit,4
bef,1
held,7
illegally,5
delete,4
saved,4
huge,3
expenses,1
adsMorale,1
Choose,1
available,18
Yeye,1
de,14
Look,2
baby,3
mouth,4
demarket,1
sadly,5
ventures,2
largely,2
related,3
who'll,2
chunk,2
earnings,3
R,3
Nigerians,23
pen,3
Mtchewwww,2
Just,42
awesome,1
Reversed,1
removed,12
else,13
accuse,1
stealing,19
erroron,1
cry,7
victimized,1
country,18
claim,14
forced,8
unjustly,2
came,19
though,25
late,16
Lost,4
Hard,2
Token,7
approach,4
remains,2
serving,3
agai,1
elders,1
spoke,9
feel,21
sorry,12
accept,6
DATA,1
plan,12
Abu,2
Dhabi,1
nowpls,1
msg,15
blocking,3
ongoing,1
ave,2
court,9
directed,3
stolenMisplaced,1
Need,4
ASAP,24
plus,24
dues,3
tonight,4
September,27
pl,2
iv,1
Months,4
maintaining,15
meaning,17
debt,7
bad,64
BAD,3
Revert,2
Boys,1
hasnt,17
reverted,11
B,9
regular,1
updates,2
accounteg,2
balanceb,1
Currently,1
accessing,2
details,29
